ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin,outlier_column
Standard Class,Consumer,United States,Broomfield,Colorado,80020.0,West,Furniture,Chairs,498.975,3.0,0.2,74.574,0.1125,profit
Standard Class,Corporate,United States,New York City,New York,10009.0,East,Furniture,Tables,254.526,1.0,0.4,-93.3262,-0.36666666666666664,profit
Standard Class,Corporate,United States,New York City,New York,10009.0,East,Furniture,Chairs,498.975,5.0,0.1,213.735,0.16666666666666666,profit
Standard Class,Consumer,United States,Paterson,New Jersey,7501.0,East,Technology,Phones,281.97,3.0,0.0,78.9516,0.27999999999999997,profit
Standard Class,Consumer,United States,Paterson,New Jersey,7501.0,East,Office Supplies,Paper,166.44,3.0,0.0,79.8912,0.48,profit
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133.0,Central,Technology,Accessories,291.96,4.0,0.0,102.186,0.35000000000000003,profit
Standard Class,Home Office,United States,Chicago,Illinois,60623.0,Central,Technology,Accessories,408.744,7.0,0.2,76.6395,0.18749999999999997,profit
Second Class,Corporate,United States,Montgomery,Alabama,36116.0,South,Technology,Phones,498.975,5.0,0.0,362.687,0.26,profit
Second Class,Corporate,United States,Montgomery,Alabama,36116.0,South,Furniture,Chairs,498.975,6.0,0.0,70.9644,0.13,profit
Same Day,Consumer,United States,Glendale,Arizona,85301.0,West,Furniture,Chairs,498.975,4.0,0.2,105.0228,0.11250000000000002,profit
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120.0,Central,Technology,Phones,479.96,4.0,0.0,134.3888,0.28,profit
Second Class,Corporate,United States,Brentwood,California,94513.0,West,Office Supplies,Appliances,320.88,6.0,0.0,93.0552,0.29,profit
First Class,Consumer,United States,Columbus,Ohio,43229.0,East,Technology,Copiers,498.975,4.0,0.4,191.9968,0.13333333333333333,profit
Standard Class,Consumer,United States,Springfield,Missouri,65807.0,Central,Furniture,Tables,498.975,7.0,0.0,215.1198,0.20999999999999996,profit
Second Class,Consumer,United States,Houston,Texas,77036.0,Central,Office Supplies,Appliances,294.62,5.0,0.5,-766.012,-2.5999999999999996,profit
Second Class,Consumer,United States,Louisville,Kentucky,40214.0,South,Furniture,Chairs,304.45,5.0,0.0,76.1125,0.25,profit
Standard Class,Consumer,United States,Auburn,Alabama,36830.0,South,Furniture,Chairs,350.98,1.0,0.0,84.2352,0.24,profit
Standard Class,Consumer,United States,Auburn,Alabama,36830.0,South,Office Supplies,Storage,498.975,4.0,0.0,117.0104,0.13,profit
First Class,Home Office,United States,Providence,Rhode Island,2908.0,East,Office Supplies,Storage,498.975,9.0,0.0,481.869,0.3,profit
First Class,Home Office,United States,Providence,Rhode Island,2908.0,East,Furniture,Chairs,498.975,4.0,0.0,244.2496,0.27999999999999997,profit
Second Class,Consumer,United States,Fresno,California,93727.0,West,Office Supplies,Binders,239.12,5.0,0.2,77.714,0.325,profit
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861.0,East,Technology,Phones,498.975,3.0,0.0,280.59,0.47,profit
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Furniture,Chairs,341.488,8.0,0.3,-73.176,-0.2142857142857143,profit
First Class,Consumer,United States,Detroit,Michigan,48227.0,Central,Furniture,Chairs,498.975,7.0,0.0,412.5394,0.26,profit
Standard Class,Consumer,United States,Pomona,California,91767.0,West,Furniture,Tables,498.975,3.0,0.2,-97.7394,-0.1375,profit
Standard Class,Consumer,United States,Ontario,California,91761.0,West,Furniture,Chairs,283.92,5.0,0.2,-46.137,-0.1625,profit
Standard Class,Consumer,United States,Wilmington,Delaware,19805.0,East,Furniture,Tables,310.443,3.0,0.3,-48.7839,-0.15714285714285717,profit
Standard Class,Home Office,United States,Moorhead,Minnesota,56560.0,Central,Furniture,Chairs,479.9,5.0,0.0,81.583,0.17,profit
Standard Class,Home Office,United States,Jackson,Mississippi,39212.0,South,Office Supplies,Binders,498.975,8.0,0.0,240.5648,0.47000000000000003,profit
Standard Class,Consumer,United States,Portland,Oregon,97206.0,West,Technology,Accessories,279.944,7.0,0.2,80.4839,0.2875,profit
Second Class,Corporate,United States,New York City,New York,10009.0,East,Office Supplies,Paper,221.92,4.0,0.0,106.5216,0.48000000000000004,profit
Same Day,Consumer,United States,Redlands,California,92374.0,West,Office Supplies,Binders,398.352,3.0,0.2,124.485,0.3125,profit
Same Day,Consumer,United States,Redlands,California,92374.0,West,Technology,Phones,498.975,4.0,0.2,145.782,0.11250000000000002,profit
Standard Class,Consumer,United States,Stockton,California,95207.0,West,Office Supplies,Paper,159.88,7.0,0.0,73.5448,0.45999999999999996,profit
First Class,Corporate,United States,Seattle,Washington,98105.0,West,Office Supplies,Binders,498.975,5.0,0.2,302.373,0.3375,profit
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,152.991,3.0,0.5,-122.3928,-0.7999999999999999,profit
Same Day,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Paper,146.82,3.0,0.0,73.41,0.5,profit
Standard Class,Corporate,United States,Long Beach,New York,11561.0,East,Furniture,Tables,498.975,3.0,0.4,-347.1174,-0.35,profit
Standard Class,Corporate,United States,York,Pennsylvania,17403.0,East,Office Supplies,Storage,254.352,6.0,0.2,-50.8704,-0.19999999999999998,profit
Standard Class,Consumer,United States,College Station,Texas,77840.0,Central,Furniture,Chairs,233.058,3.0,0.3,-53.2704,-0.2285714285714286,profit
Standard Class,Home Office,United States,Manteca,California,95336.0,West,Office Supplies,Paper,314.55,3.0,0.0,150.984,0.48000000000000004,profit
Standard Class,Consumer,United States,Laredo,Texas,78041.0,Central,Furniture,Furnishings,139.92,5.0,0.5,-150.414,-1.075,profit
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Technology,Machines,498.975,5.0,0.0,1159.9855,0.29000000000000004,profit
Standard Class,Consumer,United States,Columbus,Indiana,47201.0,Central,Technology,Phones,498.975,9.0,0.0,378.1674,0.26,profit
Standard Class,Consumer,United States,Little Rock,Arkansas,72209.0,South,Technology,Phones,498.975,7.0,0.0,229.3018,0.26,profit
Standard Class,Home Office,United States,Seattle,Washington,98103.0,West,Furniture,Furnishings,191.82,3.0,0.0,74.8098,0.39,profit
Standard Class,Home Office,United States,Aurora,Illinois,60505.0,Central,Office Supplies,Binders,29.932,7.0,0.5,-46.3946,-1.55,profit
Second Class,Consumer,United States,Fairfield,Connecticut,6824.0,East,Technology,Phones,498.975,7.0,0.0,233.2204,0.28,profit
Standard Class,Corporate,United States,San Francisco,California,94110.0,West,Technology,Phones,498.975,4.0,0.2,100.24,0.08750000000000001,profit
Same Day,Consumer,United States,Marion,Ohio,43302.0,East,Technology,Phones,485.94,2.0,0.4,-89.089,-0.18333333333333332,profit
Second Class,Consumer,United States,Littleton,Colorado,80122.0,West,Furniture,Bookcases,72.294,1.0,0.5,-98.8018,-1.3666666666666667,profit
Standard Class,Consumer,United States,New York City,New York,10024.0,East,Furniture,Tables,330.588,1.0,0.4,-115.7058,-0.35,profit
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Binders,498.975,2.0,0.2,252.588,0.375,profit
Standard Class,Home Office,United States,Chicago,Illinois,60610.0,Central,Furniture,Furnishings,44.4,2.0,0.5,-52.17,-1.175,profit
Second Class,Consumer,United States,Los Angeles,California,90049.0,West,Office Supplies,Binders,498.975,1.0,0.2,381.297,0.375,profit
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,494.982,3.0,0.4,-115.4958,-0.23333333333333334,profit
Second Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Appliances,498.975,6.0,0.0,157.0176,0.2899999999999999,profit
Standard Class,Corporate,United States,Bangor,Maine,4401.0,East,Technology,Phones,437.85,3.0,0.0,131.355,0.29999999999999993,profit
First Class,Consumer,United States,San Francisco,California,94122.0,West,Furniture,Chairs,498.975,7.0,0.2,90.972,0.075,profit
First Class,Consumer,United States,Arlington,Virginia,22204.0,South,Furniture,Bookcases,359.97,3.0,0.0,79.1934,0.21999999999999997,profit
Second Class,Consumer,United States,Atlanta,Georgia,30318.0,South,Technology,Accessories,498.975,2.0,0.0,114.9954,0.23,profit
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Furniture,Furnishings,435.26,7.0,0.0,95.7572,0.22,profit
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Technology,Copiers,498.975,2.0,0.2,377.9946,0.3375,profit
First Class,Corporate,United States,Seattle,Washington,98115.0,West,Furniture,Tables,498.975,2.0,0.0,80.3682,0.09,profit
Standard Class,Corporate,United States,Columbus,Georgia,31907.0,South,Technology,Phones,287.97,3.0,0.0,77.7519,0.27,profit
Standard Class,Corporate,United States,Columbus,Georgia,31907.0,South,Furniture,Furnishings,498.975,6.0,0.0,297.69,0.5,profit
Standard Class,Consumer,United States,New York City,New York,10011.0,East,Furniture,Furnishings,259.7,5.0,0.0,106.477,0.41000000000000003,profit
Standard Class,Consumer,United States,New York City,New York,10011.0,East,Technology,Accessories,498.975,7.0,0.0,601.9699,0.43,profit
Standard Class,Consumer,United States,New York City,New York,10011.0,East,Technology,Phones,498.975,4.0,0.0,125.99,0.25,profit
Second Class,Home Office,United States,Roswell,Georgia,30076.0,South,Furniture,Chairs,498.975,4.0,0.0,188.2192,0.26,profit
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Technology,Accessories,390.75,5.0,0.0,171.93,0.44,profit
First Class,Home Office,United States,Peoria,Arizona,85345.0,West,Office Supplies,Storage,215.592,3.0,0.2,-48.5082,-0.225,profit
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103.0,Central,Office Supplies,Appliances,416.32,2.0,0.0,112.4064,0.27,profit
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103.0,Central,Technology,Accessories,389.97,3.0,0.0,132.5898,0.33999999999999997,profit
Second Class,Corporate,United States,Henderson,Kentucky,42420.0,South,Office Supplies,Binders,364.8,9.5,0.0,167.808,0.45999999999999996,profit
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,498.975,4.0,0.2,-68.392,-0.125,profit
Standard Class,Consumer,United States,Lafayette,Indiana,47905.0,Central,Office Supplies,Paper,277.4,5.0,0.0,133.152,0.48,profit
Same Day,Consumer,United States,Fairfield,Connecticut,6824.0,East,Office Supplies,Appliances,426.79,7.0,0.0,123.7691,0.29,profit
Standard Class,Home Office,United States,Milwaukee,Wisconsin,53209.0,Central,Office Supplies,Appliances,490.32,9.0,0.0,137.2896,0.28,profit
First Class,Corporate,United States,San Francisco,California,94122.0,West,Furniture,Bookcases,498.975,7.0,0.15,200.9546,0.12941176470588237,profit
First Class,Corporate,United States,San Francisco,California,94122.0,West,Technology,Machines,239.976,3.0,0.2,80.9919,0.3375,profit
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Furniture,Tables,498.975,7.0,0.4,-447.5947,-0.2833333333333333,profit
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Furniture,Tables,498.975,4.0,0.4,-553.6476,-0.5166666666666667,profit
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Furniture,Tables,498.975,3.0,0.4,-122.7816,-0.19999999999999998,profit
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Office Supplies,Paper,155.04,4.0,0.0,75.9696,0.49000000000000005,profit
Second Class,Corporate,United States,Warwick,Rhode Island,2886.0,East,Technology,Accessories,252.0,4.0,0.0,93.24,0.37,profit
Second Class,Consumer,United States,Columbus,Ohio,43229.0,East,Office Supplies,Binders,76.776,4.0,0.5,-58.8616,-0.7666666666666667,profit
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Technology,Accessories,498.975,9.0,0.0,97.1946,0.05999999999999999,profit
Standard Class,Corporate,United States,Huntsville,Texas,77340.0,Central,Furniture,Bookcases,498.975,7.0,0.32,-225.0976,-0.23529411764705882,profit
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Technology,Accessories,498.975,9.0,0.0,200.8638,0.18,profit
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Technology,Phones,359.976,3.0,0.2,130.4913,0.3625,profit
First Class,Home Office,United States,San Francisco,California,94122.0,West,Furniture,Furnishings,211.84,8.0,0.0,76.2624,0.36,profit
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105.0,West,Technology,Accessories,498.975,5.0,0.0,95.2,0.16,profit
Standard Class,Corporate,United States,Sparks,Nevada,89431.0,West,Technology,Machines,498.975,9.5,0.2,179.73,0.075,profit
Standard Class,Home Office,United States,Elmhurst,Illinois,60126.0,Central,Office Supplies,Storage,230.376,3.0,0.2,-48.9549,-0.2125,profit
Standard Class,Consumer,United States,Fairfield,Ohio,45014.0,East,Furniture,Tables,273.06,2.0,0.4,-104.673,-0.38333333333333336,profit
First Class,Corporate,United States,Springfield,Virginia,22153.0,South,Office Supplies,Appliances,498.975,3.0,0.0,322.1829,0.39,profit
Standard Class,Consumer,United States,Farmington,New Mexico,87401.0,West,Furniture,Furnishings,498.975,9.0,0.0,114.6285,0.21,profit
Second Class,Consumer,United States,Louisville,Colorado,80027.0,West,Furniture,Tables,145.98,2.0,0.5,-99.2664,-0.68,profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055.0,East,Technology,Phones,345.0,5.0,0.0,86.25,0.25,profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055.0,East,Office Supplies,Appliances,498.975,4.0,0.0,172.3384,0.26,profit
Standard Class,Consumer,United States,Passaic,New Jersey,7055.0,East,Technology,Phones,257.98,2.0,0.0,74.8142,0.29,profit
Standard Class,Consumer,United States,Newport News,Virginia,23602.0,South,Office Supplies,Storage,498.975,4.0,0.0,165.7176,0.29,profit
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314.0,South,Furniture,Bookcases,451.136,4.0,0.2,-67.6704,-0.15,profit
First Class,Consumer,United States,Los Angeles,California,90032.0,West,Office Supplies,Appliances,498.975,4.0,0.0,429.5772,0.39,profit
Second Class,Corporate,United States,Los Angeles,California,90036.0,West,Furniture,Tables,498.975,3.0,0.2,-99.1764,-0.075,profit
Standard Class,Home Office,United States,Seattle,Washington,98105.0,West,Furniture,Tables,498.975,5.0,0.0,250.305,0.22,profit
Second Class,Consumer,United States,New York City,New York,10024.0,East,Technology,Phones,498.975,4.0,0.0,303.3408,0.48,profit
Standard Class,Consumer,United States,Jamestown,New York,14701.0,East,Technology,Phones,498.975,7.0,0.0,1228.1787,0.26999999999999996,profit
Second Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Supplies,498.975,5.0,0.0,327.506,0.04,profit
Same Day,Consumer,United States,Houston,Texas,77070.0,Central,Office Supplies,Appliances,32.784,4.0,0.5,-85.2384,-2.6,profit
Standard Class,Consumer,United States,Houston,Texas,77095.0,Central,Office Supplies,Envelopes,498.975,9.0,0.2,204.0714,0.3375,profit
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120.0,Central,Office Supplies,Appliances,498.975,3.0,0.0,251.8911,0.29,profit
Standard Class,Corporate,United States,Little Rock,Arkansas,72209.0,South,Technology,Accessories,339.96,4.0,0.0,122.3856,0.36,profit
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Storage,498.975,6.0,0.2,-337.806,-0.18749999999999997,profit
Second Class,Consumer,United States,Cleveland,Ohio,44105.0,East,Furniture,Chairs,181.986,2.0,0.3,-54.5958,-0.3,profit
Second Class,Consumer,United States,Cleveland,Ohio,44105.0,East,Technology,Phones,431.976,4.0,0.4,-100.7944,-0.23333333333333334,profit
Same Day,Corporate,United States,San Francisco,California,94122.0,West,Furniture,Chairs,498.975,6.0,0.2,-219.1644,-0.1625,profit
Same Day,Corporate,United States,San Francisco,California,94122.0,West,Furniture,Chairs,498.975,3.0,0.2,78.7671,0.11249999999999999,profit
Standard Class,Consumer,United States,Phoenix,Arizona,85023.0,West,Technology,Phones,498.975,5.0,0.2,211.4955,0.11249999999999999,profit
Standard Class,Consumer,United States,Phoenix,Arizona,85023.0,West,Office Supplies,Paper,313.024,8.0,0.2,105.6456,0.3375,profit
Standard Class,Consumer,United States,Henderson,Kentucky,42420.0,South,Furniture,Furnishings,498.975,6.0,0.0,213.6888,0.26,profit
Standard Class,Consumer,United States,Orem,Utah,84057.0,West,Furniture,Bookcases,498.975,7.0,0.0,140.686,0.1,profit
Second Class,Consumer,United States,Bellingham,Washington,98226.0,West,Furniture,Tables,498.975,9.0,0.0,239.9058,0.09,profit
Standard Class,Corporate,United States,New York City,New York,10011.0,East,Office Supplies,Storage,478.08,8.0,0.0,133.8624,0.28,profit
Standard Class,Corporate,United States,Columbus,Georgia,31907.0,South,Office Supplies,Binders,319.9,5.0,0.0,156.751,0.49000000000000005,profit
Standard Class,Corporate,United States,Columbus,Georgia,31907.0,South,Office Supplies,Appliances,498.975,3.0,0.0,290.3016,0.43,profit
Standard Class,Consumer,United States,Wheeling,Illinois,60090.0,Central,Furniture,Tables,498.975,3.0,0.5,-300.735,-0.5,profit
Second Class,Corporate,United States,Summerville,South Carolina,29483.0,South,Office Supplies,Binders,327.84,8.0,0.0,157.3632,0.48000000000000004,profit
Standard Class,Corporate,United States,Columbus,Indiana,47201.0,Central,Office Supplies,Envelopes,180.96,2.0,0.0,81.432,0.45,profit
Standard Class,Corporate,United States,Columbus,Indiana,47201.0,Central,Office Supplies,Binders,498.975,3.0,0.0,411.7365,0.44999999999999996,profit
Standard Class,Corporate,United States,Columbus,Indiana,47201.0,Central,Technology,Phones,498.975,3.0,0.0,158.7519,0.27,profit
Standard Class,Corporate,United States,Columbus,Indiana,47201.0,Central,Office Supplies,Storage,498.975,2.0,0.0,95.4612,0.18,profit
Same Day,Consumer,United States,New York City,New York,10035.0,East,Technology,Machines,498.975,3.0,0.0,364.4595,0.27,profit
Standard Class,Corporate,United States,Arlington,Texas,76017.0,Central,Furniture,Tables,498.975,5.0,0.3,-121.8735,-0.10000000000000002,profit
First Class,Home Office,United States,New York City,New York,10024.0,East,Technology,Copiers,498.975,4.0,0.2,3919.9888,0.35,profit
First Class,Home Office,United States,New York City,New York,10024.0,East,Technology,Phones,498.975,8.0,0.0,647.892,0.27,profit
First Class,Corporate,United States,Springfield,Ohio,45503.0,East,Technology,Machines,498.975,7.0,0.5,-935.9595,-1.4333333333333333,profit
Standard Class,Consumer,United States,New York City,New York,10035.0,East,Furniture,Chairs,498.975,4.0,0.1,143.04,0.16666666666666666,profit
Second Class,Consumer,United States,Tulsa,Oklahoma,74133.0,Central,Furniture,Furnishings,498.975,6.0,0.0,213.6888,0.26,profit
Second Class,Corporate,United States,Provo,Utah,84604.0,West,Office Supplies,Paper,164.88,3.0,0.0,80.7912,0.49000000000000005,profit
Second Class,Corporate,United States,Provo,Utah,84604.0,West,Furniture,Bookcases,498.975,3.0,0.0,77.5764,0.060000000000000005,profit
Standard Class,Corporate,United States,Gilbert,Arizona,85234.0,West,Furniture,Chairs,498.975,4.0,0.2,99.432,0.1125,profit
Standard Class,Corporate,United States,New York City,New York,10035.0,East,Technology,Phones,498.975,9.5,0.0,494.9725,0.25,profit
First Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Furniture,Tables,370.62,3.0,0.4,-142.071,-0.3833333333333333,profit
Second Class,Corporate,United States,Lowell,Massachusetts,1852.0,East,Office Supplies,Paper,166.44,3.0,0.0,79.8912,0.48,profit
Second Class,Corporate,United States,Lowell,Massachusetts,1852.0,East,Furniture,Chairs,498.975,6.0,0.0,212.1876,0.27,profit
Second Class,Corporate,United States,Lowell,Massachusetts,1852.0,East,Office Supplies,Storage,498.975,5.0,0.0,238.653,0.18,profit
Same Day,Consumer,United States,San Diego,California,92024.0,West,Office Supplies,Paper,166.44,3.0,0.0,79.8912,0.48,profit
Standard Class,Home Office,United States,Jackson,Michigan,49201.0,Central,Technology,Accessories,498.975,5.0,0.0,111.591,0.17999999999999997,profit
Standard Class,Home Office,United States,Jackson,Michigan,49201.0,Central,Technology,Machines,350.973,3.0,0.1,152.0883,0.43333333333333335,profit
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Office Supplies,Binders,312.552,9.0,0.2,101.5794,0.325,profit
Standard Class,Home Office,United States,Jacksonville,Florida,32216.0,South,Technology,Machines,498.975,6.0,0.5,-1811.0784,-0.08,profit
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220.0,West,Office Supplies,Paper,192.16,4.0,0.0,92.2368,0.48000000000000004,profit
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Furniture,Furnishings,227.36,7.0,0.0,81.8496,0.35999999999999993,profit
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Technology,Machines,498.975,3.0,0.2,215.9973,0.11249999999999999,profit
Standard Class,Consumer,United States,New York City,New York,10024.0,East,Technology,Phones,377.97,3.0,0.0,109.6113,0.29,profit
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,Technology,Phones,359.97,5.0,0.4,-71.994,-0.19999999999999998,profit
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,Furniture,Tables,350.352,4.0,0.4,-140.1408,-0.4000000000000001,profit
First Class,Consumer,United States,Toledo,Ohio,43615.0,East,Technology,Phones,498.975,7.0,0.4,94.4937,0.15000000000000002,profit
Standard Class,Consumer,United States,Seattle,Washington,98105.0,West,Technology,Accessories,498.975,4.0,0.0,343.9828,0.43,profit
Standard Class,Consumer,United States,Newark,Delaware,19711.0,East,Technology,Phones,377.97,3.0,0.0,94.4925,0.25,profit
Second Class,Corporate,United States,San Francisco,California,94122.0,West,Furniture,Furnishings,257.64,6.0,0.0,100.4796,0.39,profit
Standard Class,Consumer,United States,Franklin,Massachusetts,2038.0,East,Furniture,Tables,498.975,3.0,0.3,-130.0104,-0.18571428571428572,profit
Standard Class,Consumer,United States,Seattle,Washington,98115.0,West,Furniture,Chairs,498.975,3.0,0.2,73.194,0.125,profit
Second Class,Consumer,United States,Vacaville,California,95687.0,West,Office Supplies,Storage,423.28,9.5,0.0,110.0528,0.26,profit
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Technology,Accessories,323.37,3.0,0.0,129.348,0.4,profit
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Office Supplies,Appliances,498.975,5.0,0.0,419.8185,0.29,profit
Second Class,Consumer,United States,New York City,New York,10035.0,East,Technology,Accessories,239.97,3.0,0.0,71.991,0.3,profit
Standard Class,Home Office,United States,Columbus,Georgia,31907.0,South,Office Supplies,Storage,481.32,4.0,0.0,125.1432,0.26,profit
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Appliances,498.975,8.0,0.2,312.676,0.16249999999999998,profit
Standard Class,Consumer,United States,Dallas,Texas,75220.0,Central,Office Supplies,Appliances,32.192,2.0,0.5,-80.48,-2.5,profit
Standard Class,Consumer,United States,Detroit,Michigan,48234.0,Central,Technology,Phones,257.98,2.0,0.0,74.8142,0.29,profit
Standard Class,Corporate,United States,Redondo Beach,California,90278.0,West,Technology,Phones,498.975,9.5,0.2,94.0702,0.08750000000000001,profit
First Class,Corporate,United States,Miami,Florida,33180.0,South,Technology,Phones,498.975,5.0,0.2,78.396,0.09999999999999999,profit
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209.0,Central,Office Supplies,Paper,179.82,9.0,0.0,84.5154,0.47000000000000003,profit
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209.0,Central,Furniture,Furnishings,185.58,6.0,0.0,76.0878,0.41,profit
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209.0,Central,Technology,Accessories,498.975,4.0,0.0,229.9908,0.23,profit
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209.0,Central,Furniture,Tables,498.975,3.0,0.0,111.1035,0.17,profit
Standard Class,Home Office,United States,Franklin,Massachusetts,2038.0,East,Office Supplies,Storage,498.975,6.0,0.0,315.7404,0.29000000000000004,profit
Standard Class,Home Office,United States,Houston,Texas,77041.0,Central,Furniture,Bookcases,300.5328,2.0,0.32,-97.2312,-0.3235294117647059,profit
Standard Class,Consumer,United States,Portland,Oregon,97206.0,West,Office Supplies,Storage,443.92,5.0,0.2,-94.333,-0.2125,profit
Standard Class,Home Office,United States,Chesapeake,Virginia,23320.0,South,Furniture,Chairs,498.975,4.0,0.0,284.98,0.25,profit
Second Class,Consumer,United States,Fayetteville,North Carolina,28314.0,South,Office Supplies,Paper,229.544,7.0,0.2,83.2097,0.3625,profit
Standard Class,Home Office,United States,Chicago,Illinois,60653.0,Central,Office Supplies,Binders,498.975,3.0,0.5,-1143.891,-1.5,profit
Standard Class,Corporate,United States,Roswell,Georgia,30076.0,South,Office Supplies,Binders,498.975,3.0,0.0,1264.7559,0.4700000000000001,profit
First Class,Corporate,United States,San Diego,California,92037.0,West,Furniture,Chairs,498.975,4.0,0.2,100.196,0.0625,profit
Standard Class,Consumer,United States,Atlanta,Georgia,30318.0,South,Technology,Phones,377.97,3.0,0.0,98.2722,0.25999999999999995,profit
Standard Class,Consumer,United States,Atlanta,Georgia,30318.0,South,Furniture,Bookcases,498.975,9.0,0.0,374.6286,0.23,profit
Standard Class,Consumer,United States,Atlanta,Georgia,30318.0,South,Office Supplies,Paper,286.93,7.0,0.0,140.5957,0.49,profit
Second Class,Consumer,United States,San Diego,California,92037.0,West,Furniture,Chairs,498.975,7.0,0.2,76.0116,0.075,profit
Standard Class,Home Office,United States,Westfield,New Jersey,7090.0,East,Technology,Accessories,254.97,3.0,0.0,91.7892,0.36,profit
Standard Class,Corporate,United States,Charlotte,North Carolina,28205.0,South,Technology,Copiers,498.975,4.0,0.2,119.996,0.125,profit
Standard Class,Home Office,United States,Columbus,Georgia,31907.0,South,Office Supplies,Paper,184.66,7.0,0.0,84.9436,0.46,profit
Standard Class,Home Office,United States,Seattle,Washington,98115.0,West,Office Supplies,Storage,310.12,2.0,0.0,80.6312,0.26,profit
Second Class,Consumer,United States,Noblesville,Indiana,46060.0,Central,Technology,Phones,263.96,4.0,0.0,71.2692,0.27,profit
Standard Class,Home Office,United States,Burlington,North Carolina,27217.0,South,Office Supplies,Binders,498.975,4.0,0.5,-1306.5504,-0.8,profit
Standard Class,Consumer,United States,Seattle,Washington,98105.0,West,Office Supplies,Paper,248.08,7.0,0.0,116.5976,0.47,profit
Standard Class,Consumer,United States,Seattle,Washington,98105.0,West,Office Supplies,Paper,189.7,5.0,0.0,89.159,0.4700000000000001,profit
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209.0,Central,Furniture,Chairs,498.975,7.0,0.0,427.4368,0.28,profit
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Office Supplies,Storage,305.01,9.0,0.0,76.2525,0.25,profit
Second Class,Consumer,United States,Fayetteville,North Carolina,28314.0,South,Office Supplies,Storage,259.136,4.0,0.2,-51.8272,-0.19999999999999998,profit
Second Class,Consumer,United States,Mount Pleasant,South Carolina,29464.0,South,Furniture,Chairs,498.975,6.0,0.0,87.3504,0.15999999999999998,profit
Second Class,Consumer,United States,Springfield,Oregon,97477.0,West,Furniture,Tables,275.49,1.0,0.5,-170.8038,-0.62,profit
Standard Class,Home Office,United States,Columbus,Georgia,31907.0,South,Office Supplies,Storage,498.975,9.0,0.0,152.118,0.11999999999999998,profit
Standard Class,Consumer,United States,Detroit,Michigan,48227.0,Central,Office Supplies,Binders,498.975,4.0,0.0,421.0824,0.47000000000000003,profit
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,Technology,Machines,206.991,3.0,0.5,-172.4925,-0.8333333333333333,profit
First Class,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Appliances,498.975,5.0,0.0,253.372,0.28,profit
